Team,Back all,Lay All
Belgium,"1.28
£305","1.34
£158"
Croatia,"1.74
£103","1.85
£27"
England,"1.24
£245","1.26
£588"
France,"1.2
£20","1.22
£98"
Germany,"1.19
£18","1.2
£2000"
Hungary,"4
£38","4.3
£25"
Iceland,"4.7
£27","5.4
£18"
Italy,"2.64
£67","2.74
£210"
Northern Ireland,"3
£18","3.15
£10"
Poland,"1.77
£37","1.82
£12"
Portugal,"2.14
£204","2.2
£4122"
Rep Of Ireland,"5.4
£20","6.4
£19"
Slovakia,"6.4
£68","7.4
£20"
Spain,"1.56
£30","1.65
£81"
Switzerland,"2.2
£818","2.36
£105"
Wales,"1.47
£37","1.5
£21"