Team,Back all,Lay all
Belgium,"1.74
$78","1.75
$316"
Croatia,"2.84
$67","2.9
$253"
England,"2.82
$68","2.84
$13"
France,"1.8
$67","1.88
$13"
Germany,"2.34
$77","2.44
$67"
Hungary,"9
$86","10
$38"
Iceland,"17
$77","22
$108"
Italy,"5.6
$21","5.9
$120"
Northern Ireland,"11.5
$15","12.5
$67"
Poland,"4.5
$184","4.7
$121"
Portugal,"3.6
$44","3.7
$120"
Rep Of Ireland,"15
$34","19
$67"
Slovakia,"20
$38","36
$24"
Spain,"2.82
$101","2.9
$237"
Switzerland,"6
$100","6.4
$79"
Wales,"4.1
$37","4.2
$84"